,Breed,Description,Group,Origin,Life Expectancy,Related Breeds,Temperament,Adaptability Level,Affectionate With Family,Barking Level,Coat Grooming Frequency,Good with Young Children,Coat Length,Coat Type,Drooling Level,Energy Level,Good With Other Dogs,Mental Stimulation Needs,Openness to Strangers,Playfulness Level,Shedding Level,Trainability Level,Min Height,Max Height,Min Weight,Max Weight
238,Segugio Italiano,"<p>The Segugio Italiano is a loyal and personable breed of great stamina, great heart, and impeccable intelligence.</p>",Foundation Stock Service,Italy,11-13 years,"Bracco Italiano, Transylvanian Hound, Porcelaine, Hanoverian Scenthound, Black and Tan Coonhound",intelligent / friendly / eager to please,3,3,3,1,5,0,['0'],1,3,5,1,1,1,3,5,19,24.5,39,62
239,Shetland Sheepdog,"The Shetland Sheepdog, also known as the Sheltie, is an extremely intelligent, quick, and obedient herder from Scotland's remote and rugged Shetland Islands. Shelties bear a strong family resemblance to their bigger cousin, the Collie.",Herding Group,Scotland,12-14 years,"Collie, Border Collie, Icelandic Sheepdog, Miniature American Shepherd, Australian Shepherd",playful / energetic / bright,5,5,5,3,5,0,['Double'],1,4,5,4,2,5,3,5,13,16,15,25
240,Shiba Inu,"An ancient Japanese breed, the Shiba Inu is a little but well-muscled dog once employed as a hunter. Today, the spirited, good-natured Shiba is the most popular companion dog in Japan. The adaptable Shiba is at home in town or country.",Non-Sporting Group,Japan,13-16 years,"Akita, Kishu Ken, Kai Ken, Shikoku, Hokkaido",alert / active / attentive,3,5,3,2,3,0,['Double'],1,3,3,4,3,3,3,2,13.5,16.5,17,23
241,Shih Tzu,"That face! Those big dark eyes looking up at you with that sweet expression! It's no surprise that Shih Tzu owners have been so delighted with this little 'Lion Dog' for a thousand years. Where Shih Tzu go, giggles and mischief follow.",Toy Group,China,10-18 years,"Tibetan Spaniel, Tibetan Terrier, Russian Tsvetnaya Bolonka, Lhasa Apso, Havanese",playful / affectionate / outgoing,5,5,3,4,5,0,['Double'],1,3,5,3,3,3,1,4,9,10.5,9,16
242,Shikoku,"<p>The Shikoku is a dog of marked endurance, keen in sense with a naive feeling, energetic and highly alert. He is an enthusiastic hunter and docile towards his master.</p>",Foundation Stock Service,Japan,10-12 years,"Kishu Ken, Kai Ken, Shiba Inu, Chow Chow, Hokkaido",alert / energetic / enthusiastic,3,3,3,3,3,0,['Double'],1,3,3,3,3,3,3,3,17,22,35,55
243,Siberian Husky,"Siberian Husky, a thickly coated, compact sled dog of medium size and great endurance, was developed to work in packs, pulling light loads at moderate speeds over vast frozen expanses. Sibes are friendly, fastidious, and dignified.",Working Group,Siberia,12-14 years,"Alaskan Malamute, Yakutian Laika, Akita, Chinook, Samoyed",Loyal / Outgoing / mischievous,4,5,5,2,5,0,['Double'],1,5,5,4,5,5,4,3,20,23.5,35,60
244,Silky Terrier,"<p>A charming member of the AKC Toy Group, the compact, glossy-coated Silky Terrier is nonetheless a true terrier of energetic high spirits. The Silky, a native of Sydney, Australia, is larger than his close cousin, the Yorkshire Terrier.</p>",Toy Group,Australia,13-15 years,"Maltese, Biewer Terrier, Skye Terrier, Australian Terrier, Yorkshire Terrier",friendly / quick / keenly alert,4,5,4,3,3,0,['Silky'],1,3,3,3,4,4,2,4,9,10,10,10
245,Skye Terrier,"The heavenly breed with the heart of a lion,' the long, low, and level Skye Terrier is among the AKC's most distinctive-looking breeds. This elegant but sturdy aristocrat was bred as an exterminator on Scotland's remote Isle of Skye.",Terrier Group,Scotland,12-14 years,"Cesky Terrier, West Highland White Terrier, Cairn Terrier, Glen of Imaal Terrier, Scottish Terrier",courageous / good-tempered / canny,3,5,3,3,3,0,['Double'],1,3,3,3,3,3,3,3,9.5,10,35,45
246,Sloughi,"<p>The ancient Sloughi, nicknamed the 'Arabian Greyhound,' is a lean, swift coursing hound who hunted a variety of game in North African deserts. A classic sighthound, the Sloughi is regally aloof with strangers and gentle with loved ones.</p>",Hound Group,Arabian Greyhound,10-15 years,"Azawakh, Saluki, Borzoi, Greyhound, Pharaoh Hound",reserved / graceful / noble,3,4,2,1,3,0,['Smooth'],1,4,3,3,2,3,3,3,24,29,45,65
247,Slovakian Wirehaired Pointer,"<p>Slovakian Wirehaired Pointer is a dog of moderate strength, working type, but with nobleness in his lines.</p>",Foundation Stock Service,Czechoslovakia,12-15 years,"Vizsla, Pointer, Czechoslovakian Vlciak, German Wirehaired Pointer, Pudelpointer",,3,5,3,1,3,0,['Wiry'],2,4,4,3,3,3,2,5,22.5,26.5,50,65
248,Slovensky Cuvac,"<p>The Slovensky Cuvac is boundlessly faithful and courageous and always ready to fight off any intruder, even if they are bears and wolves. In order to distinguish him from wild animals in the night, he is, according to ancient tradition, only bred in white.</p>",Foundation Stock Service,Slovakia,11-13 years,"Great Pyrenees, Kuvasz, Slovensky Kopov, Czechoslovakian Vlciak, Tornjak",alert / courageous / faithful,3,5,1,2,3,0,['Double'],3,3,3,3,2,3,4,3,23,27.5,68,97
249,Slovensky Kopov,"<p>This spirited, persistent hunter will follow a scent for hours. The Slovensky Kopov is a hardy, hardworking breed that is also known for its courage and great endurance and was originally developed to hunt wild boar.</p>",Foundation Stock Service,Slovakia,12-13 years,"Bloodhound, Transylvanian Hound, Bavarian Mountain Scent Hound, Hanoverian Scenthound, Black and Tan Coonhound",alert / courageous / determined,3,5,3,1,3,0,['Rough'],2,3,4,3,3,3,3,4,16,20,33,44
250,Small Munsterlander,"The Small Munsterlander is a versatile hunting dog and natural retriever with a medium range, solid pointing instinct, and strong desire for the water. It has excellent tracking abilities for all types of work after the shot. These qualities are enhanced by intelligence and trainability.",Miscellaneous Class,Germany,12-14 years,"Deutscher Wachtelhund, Drentsche Patrijshond, Stabyhoun",intelligent / devoted / self-confident,3,5,1,1,4,0,['Double'],2,4,3,4,3,3,3,5,20.5,21,40,60
251,Smooth Fox Terrier,"The Smooth Fox Terrier, called the 'gentleman of the terrier world,' is a lively, gregarious terrier with a devil-may-care attitude, originally developed for Britain's traditional foxhunts. They are close relatives to <a href=""/dog-breeds/wire-fox-terrier/"">Wire Fox Terriers</a>.",Terrier Group,England,12-15 years,"Wire Fox Terrier, Parson Russell Terrier, Russell Terrier, Teddy Roosevelt Terrier, Toy Fox Terrier",independent / friendly / amusing,4,5,5,2,3,0,['Smooth'],1,4,3,3,3,4,3,3,15,15,15,18
252,Soft Coated Wheaten Terrier,"The Soft Coated Wheaten Terrier, an exuberant Irish farm dog, is happy, friendly, deeply devoted, and just stubborn enough to remind you he's a terrier. The unique wheaten coat is low-shedding but needs diligent care to avoid matting.",Terrier Group,Ireland,12-14 years,"Irish Terrier, Kerry Blue Terrier, Lakeland Terrier, Airedale Terrier, Glen of Imaal Terrier",friendly / happy / deeply devoted,3,5,3,4,5,0,"['Silky', 'Wavy']",2,4,3,3,3,3,1,3,17,19,30,40
253,Spanish Mastiff,"<p>The Spanish Mastiff is a very intelligent dog, not without beauty, whose expression manifests both these qualities. Rustic, affectionate, kind and noble, he is very determined when facing dangerous animals and in front of strangers, especially when he has the opportunity to defend and protect farms or cattle. In his behaviour, one can see it is a dog sure of himself, determining his strength because he is aware of his enormous power.</p>",Foundation Stock Service,Spain,10-12 years,"Neapolitan Mastiff, Pyrenean Mastiff, Tibetan Mastiff, Bullmastiff, Dogue de Bordeaux",intelligent / affectionate / kind,3,5,1,1,3,0,"['Double', 'Smooth']",5,3,3,3,3,2,3,3,28,35,140,200
254,Spanish Water Dog,"<p>The inexhaustible Spanish Water Dog is a dual-purpose breed whose hallmark is a coat of wooly curls. Used as both a herder and waterfowl retriever in his homeland, this rustic charmer is a lively family companion and vigilant watchdog.</p>",Herding Group,Spain,12-14 years,"Portuguese Water Dog, American Water Spaniel, Irish Water Spaniel, Barbet",Upbeat / Playful but also work-oriented / Very Active,3,5,3,4,4,0,"['Curly', 'Corded']",2,4,3,5,3,4,1,4,15.75,19.75,31,49
255,Spinone Italiano,"The Spinone Italiano, a densely-coated hunting dog, is sociable, docile, and patient, sometimes stubborn but always endearing. Of ancient Italian lineage, the Spinone is among the field dogs of Continental Europe famed for versatility.",Sporting Group,Italy,10-12 years,"Bracco Italiano, Segugio Italiano, Pudelpointer, Otterhound, Wirehaired Pointing Griffon",sociable / patient / docile,3,5,2,2,3,0,['Wiry'],3,3,4,3,3,3,3,4,22,27,31,49
256,Stabyhoun,"<p>Although occasionally somewhat willful by nature, Stabyhouns are obedient, gentle, and patient dogs, who are deeply fond of their family, wanting to please their owners. He is both a soft-mouthed retriever and a pointer that is particularly useful for hunting ducks and upland birds. He is a fine retriever, and water work is one of his fortes. He is very sharp-eyed, owns a good sense of smell and aptitude, and works fast and efficiently.</p>",Foundation Stock Service,The Netherlands,13-15 years,"Drentsche Patrijshond, Nederlandse Kooikerhondje, Deutscher Wachtelhund, Small Munsterlander, French Spaniel",intelligent / loving / responsive,3,5,3,1,5,0,"['Double', 'Smooth']",2,4,4,4,3,3,3,5,19,21,40,60
257,Staffordshire Bull Terrier,"<p>From his brawling past, the muscular but agile Staffordshire Bull Terrier retains the traits of courage and tenacity. Happily, good breeding transformed this former gladiator into a mild, playful companion with a special feel for kids.</p>",Terrier Group,England,12-14 years,"American Staffordshire Terrier, Bull Terrier, Miniature Bull Terrier, Bulldog, Boxer",clever / brave / tenacious,5,5,3,2,5,0,['Smooth'],3,4,3,4,4,4,2,5,14,16,24,38
258,Standard Schnauzer,"The bold, bewhiskered Standard Schnauzer is a high-spirited farm dog from Germany. They are the sometimes-willful but ever reliable medium-sized members of the Schnauzer family of breeds. The Standard's sporty look is a canine classic.",Working Group,Germany,13-16 years,"Miniature Schnauzer, Kerry Blue Terrier, Soft Coated Wheaten Terrier, German Pinscher, Giant Schnauzer",fearless / smart / spirited,4,5,3,3,5,0,"['Double', 'Wiry']",3,3,3,5,3,4,1,5,17.5,19.5,30,50
259,Sussex Spaniel,"<p>""Placid, affectionate, even-tempered, true-blue, loyal,"" all are words used to describe the Sussex Spaniel, a slow-but-steady hunter, and congenial housedog. His frowning expression is delightfully at odds with a typically cheerful nature.</p>",Sporting Group,England,13-15 years,"Clumber Spaniel, Cavalier King Charles Spaniel, English Springer Spaniel, English Cocker Spaniel, Field Spaniel",Affectionate / Loyal,2,5,4,3,3,0,['Double'],3,3,3,3,3,4,3,3,13,15,35,45
260,Swedish Lapphund,"<p>Lively, alert, kind and affectionate. The Lapphund is very receptive, attentive and willing to work. Its abilities as a good herding dog made it very useful in the reindeer trade. It is very versatile, suitable for obedience training, agility, herding, tracking, etc. It is easy to train, full of endurance and toughness.</p>",Foundation Stock Service,Sweden,12-14 years,"Samoyed, Finnish Lapphund, Yakutian Laika, Lapponian Herder, Swedish Vallhund",intelligent / playful / lively,4,5,4,2,3,0,['Double'],2,4,3,4,4,4,3,5,16,20,30,45
261,Swedish Vallhund,"<p>The long and low Swedish Vallhund, Viking Dog of ancient legend, is a smart and sociable herder of dense coat and boundless energy. These rugged cattle dogs are known for their zest for life, unique vocalizations, and cheerful demeanor.</p>",Herding Group,Sweden,12-15 years,"Cardigan Welsh Corgi, Icelandic Sheepdog, Swedish Lapphund, Pembroke Welsh Corgi, Norwegian Lundehund",friendly / energetic / watchful,4,5,3,2,5,0,['Double'],2,4,3,4,3,4,4,4,11.5,13.75,20,35
262,Taiwan Dog,"<p>The Taiwan Dog is extremely faithful to his master, keen in sense, alert in movement, bold and fearless. He is a medium-sized dog with triangular head, almond shaped eyes, thin pricked ears and a sickle tail.</p>",Foundation Stock Service,Taiwan,9-13 years,"Kai Ken, Carolina Dog, Korean Jindo Dog, Canaan Dog, Kishu Ken",loyal / intelligent / versatile,4,5,3,2,3,0,['Smooth'],2,5,3,4,3,3,3,4,17,20,26,40
263,Teddy Roosevelt Terrier,"<p>The Teddy Roosevelt Terrier is a lively, friendly, affectionate dog with his family but can be somewhat of a one-person dog. With his strong protective nature and well-developed pack instincts, the Teddy Roosevelt Terrier gets along well with children (when raised with them), cats, and other dogs. He is a bold, tenacious hunter with seemingly unlimited energy whose size and endurance makes him an excellent hunter of squirrels and vermin.</p>",Miscellaneous Class,United States,14-16 years,"Smooth Fox Terrier, Rat Terrier, Miniature Bull Terrier, Dachshund, Manchester Terrier (Standard)",intelligent / playful / versatile,5,5,3,1,5,0,['Smooth'],1,3,5,3,1,3,3,3,8,14,8,25
264,Thai Bangkaew,"<p>Thai Bangkaew are loyal to their owner and eager to train, but aloof toward strangers. Their alert nature makes them naturally adept watch dogs.</p>",Foundation Stock Service,Thailand,14-17 years,Japanese Akitainu,Loyal / Alert / Intelligent,1,5,1,3,3,0,[],1,3,3,3,1,3,3,3,16,22,35,43
265,Thai Ridgeback,"<p>The Thai Ridgeback is tough and active, with an excellent jumping ability. He is highly intelligent, has a strong survival instinct, and is a loyal family dog.</p>",Foundation Stock Service,Thailand,14-15 years,Rhodesian Ridgeback,Loyal / Alert / Intelligent,1,5,1,3,3,0,[],1,3,3,4,1,3,3,3,20,24,35,75
266,Tibetan Mastiff,"Watchful, aloof, imposing, and intimidating: The ancient Tibetan Mastiff is the guardian dog supreme. These densely coated giants are mellow and calm around the house, sweetly devoted to family, and aloof and territorial with strangers.",Working Group,Tibet,10-12 years,"Spanish Mastiff, Mastiff, Pyrenean Mastiff",reserved / independent / intelligent,3,4,3,3,3,0,['Double'],3,3,3,4,1,3,4,3,24,26,70,150
267,Tibetan Spaniel,"The frisky and curious Tibetan Spaniel was bred ages ago for sentinel work on the walls of Tibetan monasteries. Known for a flat, silky coat and 'lion's mane' around the neck, the Tibbie forms a tight, worshipful bond with their humans.",Non-Sporting Group,Tibet,12-15 years,"English Toy Spaniel, Japanese Chin, Pug, Tibetan Terrier, Pekingese",playful / bright / self-confident,4,5,3,2,5,0,['Double'],2,3,3,3,4,4,3,3,10,10,9,15
268,Tibetan Terrier,"The Tibetan Terrier, 'Holy Dog of Tibet,' is an ancient watchdog and companion long associated with Buddhist monasteries. A profusely coated, small-to-medium-sized dog with 'snowshoe' feet, the TT is affectionate, sensitive, and clever.",Non-Sporting Group,Tibet,15-16 years,"Shih Tzu, Lhasa Apso, Tibetan Mastiff, Tibetan Spaniel, Löwchen",loyal / affectionate / sensitive,4,5,3,3,3,0,['Double'],2,4,3,4,3,3,3,3,14,17,18,30
269,Tornjak,"<p>The Tornjak is of steady disposition, friendly, courageous, obedient, intelligent, and full of dignity and self-confidence. Fierce in guarding property entrusted to him, he cannot be bribed and is suspicious of strangers. He is devoted to his master, very calm in his presence and very affectionate towards the people living in his immediate vicinity.</p>",Foundation Stock Service,Croatia/Bosnia and Herzegovina,12-14 years,"Caucasian Shepherd Dog, Kuvasz, Croatian Sheepdog, Pyrenean Mastiff, Central Asian Shepherd Dog",intelligent / friendly / courageous,3,5,3,2,3,0,['Double'],3,3,1,3,3,3,4,3,23,28,62,110
270,Tosa,"<p>The Tosa's temperament is marked by patience, composure, boldness and courage. He is normally a tranquil, quiet, and obedient dog, with a calm but vigilant demeanor. With a stately manner and robust build, they were formerly bred for fighting, but are now used as watchdogs.</p>",Foundation Stock Service,Japan,10-12 years,"Mastiff, Rottweiler, Cane Corso, Boerboel, Presa Canario",vigilant / fearless / patient,3,5,3,1,3,0,"['Double', 'Smooth']",3,3,1,4,1,3,2,3,21.5,23.5,100,200
271,Toy Fox Terrier,"A diminutive satin-coated terrier with an amusing toy-dog personality, the Toy Fox Terrier is, as breed fanciers say, 'truly a toy and a terrier.' They began as barnyard ratters but are today beguiling companions with a big personality.",Toy Group,United States,13-15 years,"Smooth Fox Terrier, Chihuahua, Manchester Terrier (Toy), Russian Toy, Miniature Pinscher",alert / intelligent / friendly,4,5,4,2,3,0,['Smooth'],1,4,3,4,5,4,3,5,8.5,11.5,4,9
272,Transylvanian Hound,"<p>The Transylvanian Hound is good-natured, courageous, and enduring. At his foundation, he is quiet and even, but also determined and lively. The environmental conditions of the Carpathians made the breed a tough, brave dog.</p>",Foundation Stock Service,Hungary,10-14 years,"Vizsla, Hanoverian Scenthound, Black and Tan Coonhound, Bavarian Mountain Scent Hound, Plott Hound",good-natured / courageous / determined,4,5,4,2,5,0,['Smooth'],3,5,5,5,4,5,3,4,22,26,55,55
273,Treeing Tennessee Brindle,"<p>The Treeing Tennessee Brindle is an exceptionally sturdy and healthy breed. They are intelligent, brave, courageous and loyal companions with a strong inbred instinct for hunting. The breed bays during a hunt, which means they cry out to the hunter.</p>",Foundation Stock Service,United States,10-12 years,"Plott Hound, American English Coonhound, Treeing Walker Coonhound, Mountain Cur, American Leopard Hound",alert / intelligent / friendly,3,5,5,2,3,0,['Smooth'],3,3,5,4,3,3,2,3,16,24,30,50
274,Treeing Walker Coonhound,"A smart, brave, and sensible hunter, the Treeing Walker Coonhound is a genuine American favorite, nicknamed ""The People's Choice."" Don't let the name fool you' Walkers are runners and are capable of covering a lot of ground in a hurry.",Hound Group,United States,12-13 years,"Bluetick Coonhound, Treeing Tennessee Brindle, Plott Hound, Redbone Coonhound, Mountain Cur",smart / brave / courteous,4,5,4,1,5,0,['Smooth'],3,5,5,5,3,4,3,5,20,27,50,70
275,Vizsla,"The Vizsla is a versatile, red-coated gundog built for long days in the field. For centuries these rugged but elegant athletes have been the pride of Hungarian sportsmen, and their popularity in America increases with each passing year.",Sporting Group,Hungary,12-14 years,"Wirehaired Vizsla, German Shorthaired Pointer, Pointer, Weimaraner",energetic / affectionate / gentle,5,5,3,2,5,0,['Smooth'],2,5,4,5,4,5,3,5,21,24,44,60
276,Volpino Italiano,"<p>The Volpino Italiano is a diverse breed. They love to run and do agility, but when done, will jump up on your lap and lay there the rest of the day.</p>",Foundation Stock Service,Italy,12-15 years,"American Eskimo Dog, German Spitz, Keeshond, Pomeranian, Japanese Spitz",loyal / energetic / loving,1,5,1,1,3,0,[],1,3,3,5,1,3,2,3,10,12,8,16
277,Weimaraner,"The Weimaraner, Germany's sleek and swift 'Gray Ghost,' is beloved by hunters and pet owners alike for their friendliness, obedience, and beauty. They enjoy exercise, and plenty of it, along with lots of quality time with their humans.",Sporting Group,Germany,10-13 years,"Vizsla, Pointer, Dalmatian, Braque Francais Pyrenean, German Shorthaired Pointer",friendly / fearless / obedient,4,5,3,2,5,0,['Smooth'],2,5,3,5,3,5,3,5,23,27,55,90
278,Welsh Springer Spaniel,"The Welsh Springer Spaniel is a vigorous, medium-sized bird dog of happy disposition, known for versatility in the field, companionability at home, and dashing good looks anywhere. The Welshie is among Britain's oldest sporting breeds.",Sporting Group,Wales,12-15 years,"Brittany, English Springer Spaniel, English Cocker Spaniel, Irish Red and White Setter, Nederlandse Kooikerhondje",reserved / happy / upbeat,4,5,3,2,5,0,['Double'],2,4,4,4,1,3,3,5,17,19,35,55
279,Welsh Terrier,"The Welsh Terrier is as alert and spirited as any self-respecting terrier, but a bit calmer than most''game, not quarrelsome,' as breed fanciers say. The Welshman was bred to do battle with badgers, otters, and other dangerous opponents.",Terrier Group,Wales,12-15 years,"Irish Terrier, Airedale Terrier, Soft Coated Wheaten Terrier, Kerry Blue Terrier, Lakeland Terrier",intelligent / friendly / spirited,4,5,4,3,5,0,"['Double', 'Wiry']",2,4,3,4,5,4,2,4,15,15.5,,20
280,West Highland White Terrier,"Smart, confident, and always entertaining at play, the adorable West Highland White Terrier (Westie, for short) has charmed owners for over 300 years. This diminutive but sturdy earthdog is among the most popular of the small terriers.",Terrier Group,Scotland,13-15 years,"Cairn Terrier, Norfolk Terrier, Norwich Terrier, Scottish Terrier, Australian Terrier",loyal / happy / entertaining,4,5,5,3,5,0,['Double'],1,4,3,4,4,5,3,3,,11,15,20
281,Wetterhoun,"<p>The Wetterhoun, although originally bred for hunting otters, now make excellent companions, watchdogs, and can excel in a variety of sports due to their perseverant nature. &nbsp;The Wetterhoun is almost never seen apart from its owner; they enjoy their company as much as the owner enjoys theirs.</p>",Foundation Stock Service,Netherlands,13 years,"Stabyhoun, Drentsche Patrijshond, Schapendoes, Nederlandse Kooikerhondje, Dutch Shepherd",loyal / intelligent / good-natured,0,0,0,0,0,0,['Curly'],0,0,0,0,0,0,0,0,21.5,23,50,75
282,Whippet,"The sleek, sweet-faced Whippet, the 'Poor Man's Racehorse,' is lightning quick. He is an amiable, dignified, and gentle soul, but give him something to chase and he's all business. The name Whippet is synonymous with streamlined grace.",Hound Group,England,12-15 years,"Greyhound, Italian Greyhound, Azawakh, Pharaoh Hound, Manchester Terrier (Standard)",playful / affectionate / calm,3,5,1,1,5,0,['Smooth'],1,4,5,4,3,4,2,3,18,22,25,40
283,Wire Fox Terrier,"The Wire Fox Terrier breed standard says they should be 'on the tip-toe of expectation at the slightest provocation.' Once a mainstay of traditional British foxhunts, today's Wire is a handsome and amusing companion and master show dog.",Terrier Group,England,12-15 years,"Smooth Fox Terrier, Toy Fox Terrier, Rat Terrier, Parson Russell Terrier, Russell Terrier",alert / confident / gregarious,4,5,4,3,5,0,"['Double', 'Wiry']",2,4,3,4,5,4,2,4,15,15,15,18
284,Wirehaired Pointing Griffon,"The hardworking Wirehaired Pointing Griffon, renowned as the 'supreme gundog,' is known for the harsh, low-shedding coat the breed is named for. Outgoing, eager, and quick-witted, Griffs are incomparable in the field and loving at home.",Sporting Group,Continental Europe,12-15 years,"Spinone Italiano, German Wirehaired Pointer, Pudelpointer, Slovakian Wirehaired Pointer, Wirehaired Vizsla",friendly / devoted / trainable,4,5,3,2,5,0,"['Double', 'Wiry']",3,5,3,5,5,4,3,5,20,24,35,70
285,Wirehaired Vizsla,"The Wirehaired Vizsla is an exuberant hunter on land or lake, whose dense, wiry coat distinguishes him from his close cousin, the Vizsla. Calm and gentle around the house, these upbeat Hungarians like running, swimming, and upbeat play.",Sporting Group,Hungary,12-14 years,"Wirehaired Pointing Griffon, Vizsla, Pudelpointer, Slovakian Wirehaired Pointer, German Wirehaired Pointer",loyal / gentle / trainable,4,5,3,1,5,0,['Wiry'],2,5,3,5,5,5,3,5,21.5,25,45,65
286,Working Kelpie,"The Working Kelpie is extremely alert, eager and highly intelligent. He possesses an open, friendly, active but placid disposition with a good balance between keenness to work and ability to relax. With an almost inexhaustible energy, the Working Kelpie has a marked loyalty and devotion to work and a strongly-inherited natural instinct and aptitude in working sheep and other livestock, both in open country and in the yards.",Foundation Stock Service,Australia,12-15 years,"Australian Kelpie, Border Collie, Australian Cattle Dog, Collie, Beauceron",alert / intelligent / eager,4,5,3,1,5,0,['Smooth'],2,5,3,5,5,5,3,5,19,25,28,60
287,Xoloitzcuintli,"<p>The 5,000-year-old Xoloitzcuintli (pronounced ""show-low-eats-QUEENT-lee""), the ancient Aztec dog of the gods, is today a loving companion and vigilant watchdog.</p>",Non-Sporting Group,Mexico,13-18 years,"Peruvian Inca Orchid, Chinese Crested, Manchester Terrier (Standard), Chihuahua, American Hairless Terrier",alert / loyal / calm,4,5,3,1,3,0,"['Smooth', 'Hairless']",1,4,3,4,3,4,1,4,10,23,10,55
288,Yakutian Laika,"<p>Yakutian Laikas are used for herding, pulling sleds and hunting. They were developed in ancient times for natives of Yakutia as indispensable assistants. This versatile dog will be happy by your side or participating in agility, coursing ability, herding or sledding.</p>",Miscellaneous Class,Yakutia,10-12 years,"Swedish Lapphund, Lapponian Herder, Alaskan Malamute, Samoyed, Siberian Husky",intelligent / active / affectionate,4,5,4,2,5,0,['Double'],3,5,4,5,1,4,4,3,21,23,40,55
289,Yorkshire Terrier,"Beneath the dainty, glossy, floor-length coat of a Yorkshire Terrier beats the heart of a feisty, old-time terrier. Yorkies earned their living as ratters in mines and mills long before they became the beribboned lapdogs of Victorian ladies.",Toy Group,England,11-15 years,"Silky Terrier, Biewer Terrier, Scottish Terrier, Australian Terrier, Maltese",affectionate / sprightly / tomboyish,5,5,4,5,5,0,['Silky'],1,4,3,4,5,4,1,4,7,8,7,7
